prefecture_name,male_population,female_population,total_population,year,population_type,source
北海道,2410304,2683679,5093983,2024,住民基本台帳人口,令和6年1月1日住民基本台帳人口・世帯数
青森県,571845,633733,1205578,2024,住民基本台帳人口,令和6年1月1日住民基本台帳人口・世帯数
岩手県,566194,606155,1172349,2024,住民基本台帳人口,令和6年1月1日住民基本台帳人口・世帯数
宮城県,1093624,1148765,2242389,2024,住民基本台帳人口,令和6年1月1日住民基本台帳人口・世帯数
秋田県,437767,486853,924620,2024,住民基本台帳人口,令和6年1月1日住民基本台帳人口・世帯数
山形県,498435,529074,1027509,2024,住民基本台帳人口,令和6年1月1日住民基本台帳人口・世帯数
福島県,882650,912569,1795219,2024,住民基本台帳人口,令和6年1月1日住民基本台帳人口・世帯数
茨城県,1439050,1426640,2865690,2024,住民基本台帳人口,令和6年1月1日住民基本台帳人口・世帯数
栃木県,959226,957561,1916787,2024,住民基本台帳人口,令和6年1月1日住民基本台帳人口・世帯数
群馬県,952484,966748,1919232,2024,住民基本台帳人口,令和6年1月1日住民基本台帳人口・世帯数
埼玉県,3680089,3698550,7378639,2024,住民基本台帳人口,令和6年1月1日住民基本台帳人口・世帯数
千葉県,3141283,3168875,6310158,2024,住民基本台帳人口,令和6年1月1日住民基本台帳人口・世帯数
東京都,6830918,7080984,13911902,2024,住民基本台帳人口,令和6年1月1日住民基本台帳人口・世帯数
神奈川県,4581796,4626892,9208688,2024,住民基本台帳人口,令和6年1月1日住民基本台帳人口・世帯数
新潟県,1040012,1097660,2137672,2024,住民基本台帳人口,令和6年1月1日住民基本台帳人口・世帯数
富山県,496416,522588,1019004,2024,住民基本台帳人口,令和6年1月1日住民基本台帳人口・世帯数
石川県,538216,571010,1109226,2024,住民基本台帳人口,令和6年1月1日住民基本台帳人口・世帯数
福井県,366747,385643,752390,2024,住民基本台帳人口,令和6年1月1日住民基本台帳人口・世帯数
山梨県,396452,409917,806369,2024,住民基本台帳人口,令和6年1月1日住民基本台帳人口・世帯数
長野県,993384,1034751,2028135,2024,住民基本台帳人口,令和6年1月1日住民基本台帳人口・世帯数
岐阜県,959742,1008120,1967862,2024,住民基本台帳人口,令和6年1月1日住民基本台帳人口・世帯数
静岡県,1784266,1822203,3606469,2024,住民基本台帳人口,令和6年1月1日住民基本台帳人口・世帯数
愛知県,3753465,3747417,7500882,2024,住民基本台帳人口,令和6年1月1日住民基本台帳人口・世帯数
三重県,862261,895266,1757527,2024,住民基本台帳人口,令和6年1月1日住民基本台帳人口・世帯数
滋賀県,696879,713655,1410534,2024,住民基本台帳人口,令和6年1月1日住民基本台帳人口・世帯数
京都府,1190865,1297210,2488075,2024,住民基本台帳人口,令和6年1月1日住民基本台帳人口・世帯数
大阪府,4220992,4554716,8775708,2024,住民基本台帳人口,令和6年1月1日住民基本台帳人口・世帯数
兵庫県,2596299,2830564,5426863,2024,住民基本台帳人口,令和6年1月1日住民基本台帳人口・世帯数
奈良県,623048,692159,1315207,2024,住民基本台帳人口,令和6年1月1日住民基本台帳人口・世帯数
和歌山県,432514,480783,913297,2024,住民基本台帳人口,令和6年1月1日住民基本台帳人口・世帯数
鳥取県,259098,281109,540207,2024,住民基本台帳人口,令和6年1月1日住民基本台帳人口・世帯数
島根県,313429,337195,650624,2024,住民基本台帳人口,令和6年1月1日住民基本台帳人口・世帯数
岡山県,894879,956246,1851125,2024,住民基本台帳人口,令和6年1月1日住民基本台帳人口・世帯数
広島県,1337049,1413491,2750540,2024,住民基本台帳人口,令和6年1月1日住民基本台帳人口・世帯数
山口県,624841,685268,1310109,2024,住民基本台帳人口,令和6年1月1日住民基本台帳人口・世帯数
徳島県,340557,369455,710012,2024,住民基本台帳人口,令和6年1月1日住民基本台帳人口・世帯数
香川県,459894,488691,948585,2024,住民基本台帳人口,令和6年1月1日住民基本台帳人口・世帯数
愛媛県,624255,688043,1312298,2024,住民基本台帳人口,令和6年1月1日住民基本台帳人口・世帯数
高知県,320208,355415,675623,2024,住民基本台帳人口,令和6年1月1日住民基本台帳人口・世帯数
福岡県,2427032,2668347,5095379,2024,住民基本台帳人口,令和6年1月1日住民基本台帳人口・世帯数
佐賀県,382007,419044,801051,2024,住民基本台帳人口,令和6年1月1日住民基本台帳人口・世帯数
長崎県,610067,679927,1289994,2024,住民基本台帳人口,令和6年1月1日住民基本台帳人口・世帯数
熊本県,822461,905637,1728098,2024,住民基本台帳人口,令和6年1月1日住民基本台帳人口・世帯数
大分県,531239,581588,1112827,2024,住民基本台帳人口,令和6年1月1日住民基本台帳人口・世帯数
宮崎県,502195,556515,1058710,2024,住民基本台帳人口,令和6年1月1日住民基本台帳人口・世帯数
鹿児島県,746966,829395,1576361,2024,住民基本台帳人口,令和6年1月1日住民基本台帳人口・世帯数
沖縄県,732951,752718,1485669,2024,住民基本台帳人口,令和6年1月1日住民基本台帳人口・世帯数
