検索年,@id,STATISTICS_NAME,TITLE,CYCLE,SURVEY_DATE,OPEN_DATE,SMALL_AREA,COLLECT_AREA,OVERALL_TOTAL_NUMBER,UPDATED_DATE,DESCRIPTION,STAT_NAME.@code,STAT_NAME.$,GOV_ORG.@code,GOV_ORG.$,MAIN_CATEGORY.@code,MAIN_CATEGORY.$,SUB_CATEGORY.@code,SUB_CATEGORY.$,STATISTICS_NAME_SPEC.TABULATION_CATEGORY,TITLE_SPEC.TABLE_NAME,TITLE_SPEC.TABLE_EXPLANATION,TITLE.@no,TITLE.$,STATISTICS_NAME_SPEC.TABULATION_SUB_CATEGORY1,STATISTICS_NAME_SPEC.TABULATION_SUB_CATEGORY2,STATISTICS_NAME_SPEC.TABULATION_SUB_CATEGORY3,TITLE_SPEC.TABLE_CATEGORY,DESCRIPTION.TABULATION_SUB_CATEGORY_EXPLANATION1,STATISTICS_NAME_SPEC.TABULATION_SUB_CATEGORY4,TITLE_SPEC.TABLE_SUB_CATEGORY1,TITLE_SPEC.TABLE_SUB_CATEGORY2,TITLE_SPEC.TABLE_SUB_CATEGORY3,DESCRIPTION.TABULATION_SUB_CATEGORY_EXPLANATION2
2024,0003350896,民間非営利団体実態調査結果,民間非営利団体における従業者規模別収入・支出額表,年度次,202404-202503,2026-01-30,0,該当なし,37836,2026-03-02,,00100407,民間非営利団体実態調査,00100,内閣府,07,企業・家計・経済,05,国民経済計算,民間非営利団体実態調査結果,民間非営利団体における従業者規模別収入・支出額表,※投資支出欄について、対事業所サービス（事業協同組合、経済団体）、健康相談施設及び社会保険事業団体へは投資支出の質問を行っていないため、これを除いた数値となっている。,,,,,,,,,,,,
2024,0003350897,民間非営利団体実態調査結果,民間非営利団体における従業者規模別従業者数,年度次,202404-202503,2026-01-30,0,該当なし,3648,2026-03-02,,00100407,民間非営利団体実態調査,00100,内閣府,07,企業・家計・経済,05,国民経済計算,民間非営利団体実態調査結果,民間非営利団体における従業者規模別従業者数,※「常雇(1か月以上の雇用の者)」は平成28年調査までの「常雇(1カ月を超えて雇用の者)」からの名称変更。<br>※「臨時、日雇(1か月未満)」は平成28年調査までの「臨時、日雇(1カ月以内)」からの名称変更。,,,,,,,,,,,,
2024,0003350898,民間非営利団体実態調査結果,民間非営利団体実態調査対象母集団数及び集計事業所数,年度次,202404-202503,2026-01-30,0,該当なし,1220,2026-03-02,,00100407,民間非営利団体実態調査,00100,内閣府,07,企業・家計・経済,05,国民経済計算,民間非営利団体実態調査結果,民間非営利団体実態調査対象母集団数及び集計事業所数,,,,,,,,,,,,,
2024,0003350899,民間非営利団体実態調査結果,産業分類別にみた介護保険事業実施事業所数,年度次,202404-202503,2026-01-30,0,該当なし,122,2026-03-02,,00100407,民間非営利団体実態調査,00100,内閣府,07,企業・家計・経済,05,国民経済計算,民間非営利団体実態調査結果,産業分類別にみた介護保険事業実施事業所数,,,,,,,,,,,,,
2024,0003350900,民間非営利団体実態調査結果,各事業所の介護保険事業で最も収入の多いサービス内容,年度次,202404-202503,2026-01-30,0,該当なし,90,2026-03-02,,00100407,民間非営利団体実態調査,00100,内閣府,07,企業・家計・経済,05,国民経済計算,民間非営利団体実態調査結果,各事業所の介護保険事業で最も収入の多いサービス内容,,,,,,,,,,,,,
2024,0003350901,民間非営利団体実態調査結果,非営利事業のうち、収入額の一番多い活動内容について,年度次,202404-202503,2026-01-30,0,該当なし,633,2026-03-02,,00100407,民間非営利団体実態調査,00100,内閣府,07,企業・家計・経済,05,国民経済計算,民間非営利団体実態調査結果,非営利事業のうち、収入額の一番多い活動内容について,,,,,,,,,,,,,
2024,0004049794,国民経済計算年次推計 令和2年基準 2024年度（令和6年度）年次推計 フロー編,,年次,202401-202412,2026-01-30,0,該当なし,496,2026-05-25,,00100409,国民経済計算,00100,内閣府,07,企業・家計・経済,05,国民経済計算,国民経済計算年次推計,2.国民可処分所得と使用勘定　年度,,1,1.統合勘定 2.国民可処分所得と使用勘定　年度,令和2年基準,2024年度（令和6年度）年次推計,フロー編,1.統合勘定,,,,,,
2024,0004049795,国民経済計算年次推計 令和2年基準 2024年度（令和6年度）年次推計 フロー編,,年次,202401-202412,2026-01-30,0,該当なし,496,2026-03-31,,00100409,国民経済計算,00100,内閣府,07,企業・家計・経済,05,国民経済計算,国民経済計算年次推計,2.国民可処分所得と使用勘定　暦年,,1,1.統合勘定 2.国民可処分所得と使用勘定　暦年,令和2年基準,2024年度（令和6年度）年次推計,フロー編,1.統合勘定,,,,,,
2024,0004049796,国民経済計算年次推計 令和2年基準 2024年度（令和6年度）年次推計 フロー編,,年次,202401-202412,2026-01-30,0,該当なし,2000,2026-08-20,,00100409,国民経済計算,00100,内閣府,07,企業・家計・経済,05,国民経済計算,国民経済計算年次推計,2.国民可処分所得と使用勘定　四半期,,1,1.統合勘定 2.国民可処分所得と使用勘定　四半期,令和2年基準,2024年度（令和6年度）年次推計,フロー編,1.統合勘定,,,,,,
2024,0004049797,国民経済計算年次推計 令和2年基準 2024年度（令和6年度）年次推計 フロー編,,年次,202401-202412,2026-01-30,0,該当なし,279,2026-05-25,,00100409,国民経済計算,00100,内閣府,07,企業・家計・経済,05,国民経済計算,国民経済計算年次推計,3.資本勘定・金融勘定　(1)資本勘定　年度,(注)海外からの資本移転等(純)＝海外からの資本移転(純)－非金融非生産資産の海外からの購入(純),1,1.統合勘定 3.資本勘定・金融勘定　(1)資本勘定　年度,令和2年基準,2024年度（令和6年度）年次推計,フロー編,1.統合勘定,,,,,,
